DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL
20170412,120000,117.7600000,117.7600000,116.5700000,116.6100000,436300
20170412,130000,116.6500000,116.9700000,116.4200000,116.6900000,279000
20170412,140000,116.6400000,116.7000000,116.0000000,116.2700000,295400
20170412,150000,116.2200000,116.3300000,114.7100000,115.2200000,693000
20170412,160000,115.1100000,115.7300000,115.1100000,115.3200000,301800
20170412,170000,115.2800000,115.3600000,114.0900000,114.2800000,546000
20170412,180000,114.2000000,114.4000000,113.8000000,114.1900000,516500
20170412,190000,114.1700000,114.2400000,113.1300000,113.2900000,479200
20170413,110000,114.4900000,114.7800000,112.5100000,113.0100000,2389500
20170413,120000,113.0700000,113.3300000,110.7100000,111.8600000,1379700
20170413,130000,111.8400000,113.7100000,111.5200000,113.2500000,728200
20170413,140000,113.2900000,114.0600000,113.0400000,113.6300000,764100
20170413,150000,113.5600000,114.0000000,113.1500000,113.2800000,319500
20170413,160000,113.3100000,113.6500000,112.1800000,112.2900000,327400
20170413,170000,112.3800000,112.7700000,111.5000000,112.0000000,430700
20170413,180000,112.0100000,112.6100000,111.7500000,112.0700000,289400
20170413,190000,112.0800000,113.5700000,112.0600000,113.2800000,256900
20170414,110000,112.8000000,113.1400000,112.3100000,112.6600000,270000
20170414,120000,112.8000000,113.5000000,112.6800000,113.1000000,123800
20170414,130000,113.0200000,113.3700000,113.0200000,113.2800000,32900
20170414,140000,113.2200000,113.3300000,113.0100000,113.2500000,48200
20170414,150000,113.1800000,113.3200000,113.0400000,113.1500000,41400
20170414,160000,113.2900000,113.3800000,112.9000000,113.0200000,47300
20170414,170000,112.9500000,112.9500000,110.9000000,111.3300000,444700
20170414,180000,111.4600000,111.4600000,111.0200000,111.1500000,114000
20170414,190000,111.0800000,111.3900000,110.9000000,111.0400000,154900
20170417,110000,110.7300000,111.6700000,110.2100000,111.2900000,386900
20170417,120000,111.2900000,111.3200000,109.8800000,110.4000000,478400
20170417,130000,110.4600000,111.3000000,110.1300000,111.2200000,277400
20170417,140000,111.2400000,111.9700000,111.1200000,111.7700000,154300
20170417,150000,111.7600000,113.4500000,111.5300000,113.0300000,453500
20170417,160000,113.1000000,114.0800000,112.8500000,113.8500000,276600
20170417,170000,113.9200000,114.6200000,113.6100000,114.3500000,300600
